"År","Tunga lastbilar","Totalt"
1990,3.31,19.32
1991,3.04,19.18
1992,3.41,20.09
1993,3.41,19.32
1994,3.73,19.94
1995,3.63,20.03
1996,3.52,19.79
1997,3.67,19.87
1998,3.89,19.98
1999,4.02,20.31
2000,4.08,20.16
2001,4.07,20.29
2002,4.18,20.73
2003,4.31,20.94
2004,4.59,21.3
2005,4.85,21.57
2006,4.93,21.52
2007,5.1,21.8
2008,5.02,21.34
2009,4.66,20.84
2010,4.99,21.03
2011,4.85,20.66
2012,4.4,19.5
2013,4.19,19.08
2014,3.97,18.66
2015,3.85,18.75
2016,3.52,18.09
2017,3.34,17.69
2018,3.17,17
2019,3.18,16.87
2020,3.1,15.47
2021,3.22,15.48
2022,2.78,13.95
2023,2.8,13.86
